,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,un
Alabama-Crenshaw,0.0013800141318706957,0.0013792869161461901,0.0013807202600277953,0.017017017017017015,0.7064128256513026,0.2735739231664726,0.008686210640608037,0.04326923076923077,0.0,0.0017383124493832885,0.22595924004461995,0.13142044107185205,0.24625766049362044,0.07364878241932289,0.24363057324840764,0.23529411764705885,0.23305785123966946,0.19879518072289154,0.6293929712460065,0.2797927461139897,0.44244604316546765,0.8557046979865772,0.38795986622073575,0.0,0.018258426966292134,0.020460358056265986,0.1236559139784946,0.588235294117647,0.0011990327486089128,0.7756714060031595,0.19867549668874168,0.21584699453551912,0.03061224489795918,0.2657534246575342,0.0008372511106980248
Alabama-Cullman,0.008057138741478516,0.008096359600583098,0.008019055196216606,0.04304304304304304,0.9238476953907816,0.012805587892898719,0.0043431053203040184,0.01442307692307692,0.0,0.010111682977851111,0.25206721320183434,0.05956841356414512,0.2512139580054251,0.040520029037154355,0.27229299363057324,0.30637254901960786,0.24793388429752064,0.3192771084337349,0.6325878594249201,0.3160621761658032,0.32553956834532377,0.8914988814317675,0.33444816053511706,0.001620745542949757,0.021067415730337078,0.02557544757033248,0.06989247311827956,0.5498721227621483,0.0069508519539725035,0.8941548183254346,0.10596026490066221,0.15846994535519124,0.04081632653061224,0.19999999999999998,0.004944842137330226
Alabama-Dale,0.0049591051395838515,0.004987757084542139,0.004931284034499158,0.06006006006006006,0.6993987975951903,0.2258440046565774,0.005428881650380022,0.02884615384615384,0.0,0.006160581966699351,0.3056908121890327,0.10163623428977946,0.2794280164763404,0.05266283904177391,0.28184713375796183,0.32107843137254904,0.22479338842975208,0.3674698795180722,0.6613418530351439,0.339378238341969,0.2913669064748201,0.9194630872483223,0.22073578595317725,0.001620745542949757,0.02247191011235955,0.043478260869565216,0.06989247311827956,0.3964194373401534,0.004028344461096479,0.759873617693523,0.24999999999999994,0.16120218579234974,0.01020408163265306,0.29863013698630136,0.0031390653551903805
Alabama-Dallas,0.004190847795688175,0.0039245272641204015,0.004449445650240311,0.003003003003003003,0.2865731462925852,0.8055878928987193,0.0021715526601520092,0.00721153846153846,0.0,0.005151762069331064,0.14879508472475522,0.08560588095802703,0.19975888282375007,0.04454563452781627,0.535031847133758,0.6593137254901962,0.21487603305785122,0.4367469879518072,0.48562300319488827,0.21761658031088085,0.44064748201438847,0.8624161073825504,0.3812709030100334,0.00486223662884927,0.030898876404494385,0.04092071611253197,0.059139784946236555,0.48593350383631706,0.003027137014839918,0.8151658767772512,0.18046357615894038,0.16939890710382513,0.04081632653061224,0.4493150684931506,0.0027352207141235893
Alabama-DeKalb,0.007071215124707831,0.007164769683754847,0.006980373430638246,0.14014014014014015,0.8106212424849699,0.0209545983701979,0.01194353963083605,0.00721153846153846,0.0028328611898017003,0.008146799502337567,0.2451706004214105,0.05169551814085843,0.20985566457921703,0.031346928001055895,0.2754777070063694,0.3088235294117647,0.17685950413223142,0.322289156626506,0.5495207667731631,0.2772020725388602,0.474820143884892,0.9049217002237137,0.34782608695652173,0.0,0.008426966292134831,0.023017902813299233,0.056451612903225805,0.4578005115089514,0.005979199651033579,0.8499210110584519,0.1125827814569536,0.23224043715846993,0.01020408163265306,0.21095890410958903,0.005441881695566276
Alabama-Elmore,0.008037015818311124,0.007950969292313181,0.008120567194856307,0.028028028028028024,0.7374749498997996,0.24447031431897553,0.0021715526601520092,0.012019230769230768,0.0,0.010103413962298911,0.3811817199922093,0.08110030827602561,0.3098188272328455,0.05464264502078796,0.19426751592356686,0.2512254901960785,0.32727272727272716,0.33132530120481923,0.6741214057507988,0.2046632124352332,0.28597122302158273,0.9161073825503355,0.3010033444816053,0.001620745542949757,0.0056179775280898875,0.030690537084398974,0.059139784946236555,0.6035805626598465,0.007242951691578921,0.7172195892575042,0.3029801324503311,0.15027322404371585,0.0,0.2273972602739726,0.004906762493755689
Alabama-Escambia,0.0037705576330979446,0.003939490939797695,0.0036065230000270963,0.012012012012012012,0.6082164328657315,0.3888242142025611,0.03474484256243215,0.002403846153846154,0.0,0.0048487853394984905,0.1932733679196841,0.0919611097936922,0.1869830213321724,0.04850524648584439,0.3630573248407643,0.38970588235294124,0.19669421487603303,0.5060240963855421,0.6070287539936103,0.24093264248704668,0.3363309352517985,0.9574944071588367,0.2006688963210702,0.006482982171799028,0.016853932584269662,0.01278772378516624,0.029569892473118278,0.46547314578005117,0.0026388212632213427,0.7819905213270144,0.21854304635761584,0.17486338797814208,0.01020408163265306,0.42739726027397257,0.002137219995620841
Alabama-Etowah,0.01032853859860576,0.010143956626370567,0.010507768122247935,0.036036036036036036,0.7865731462925851,0.17927823050058206,0.003257328990228013,0.016826923076923073,0.0028328611898017003,0.013032133890576779,0.25427165040636013,0.08091059995257292,0.24483439938381166,0.02672738071668976,0.2914012738853503,0.3884803921568628,0.25123966942148757,0.40662650602409633,0.5495207667731631,0.20984455958549228,0.3902877697841726,0.906040268456376,0.2909698996655518,0.00486223662884927,0.0056179775280898875,0.01278772378516624,0.10215053763440858,0.4731457800511508,0.008882507087301796,0.8657187993680886,0.14238410596026488,0.1530054644808743,0.02040816326530612,0.2465753424657534,0.006233036395621442
Alabama-Fayette,0.0016746854523120092,0.001705656815377967,0.0016446121868590462,0.007007007007007006,0.8547094188376753,0.13969732246798602,0.0,0.009615384615384616,0.0,0.002167805117164508,0.21407829735998726,0.08736068294996442,0.22884364220890127,0.07061307991816801,0.26910828025477707,0.3137254901960785,0.2231404958677686,0.28915662650602403,0.5591054313099043,0.2849740932642488,0.43345323741007197,0.9093959731543625,0.3712374581939799,0.0,0.004213483146067416,0.005115089514066497,0.05107526881720429,0.6010230179028132,0.0013073296971158712,0.8988941548183258,0.13907284768211917,0.10382513661202185,0.01020408163265306,0.273972602739726,0.0009276902641875481
Alabama-Franklin,0.0031428618960794466,0.0030875724853593575,0.0031965480422714025,0.15715715715715714,0.7865731462925851,0.04772991850989522,0.007600434310532031,0.002403846153846154,0.0028328611898017003,0.0036456435766535258,0.22020468509304672,0.10277448423049561,0.21293660627574426,0.056886425130337225,0.3359872611464968,0.4754901960784314,0.13057851239669419,0.2590361445783132,0.48881789137380194,0.2875647668393783,0.5899280575539567,0.8400447427293065,0.4414715719063545,0.003241491085899514,0.0028089887640449437,0.12020460358056266,0.03763440860215053,0.6163682864450127,0.002629113369430878,0.8451816745655609,0.14569536423841056,0.18852459016393444,0.0,0.2684931506849315,0.0023812303432629344
